state,aarp_caregiver_pct_adults_2025,aarp_category
Alabama,28,27-30
Alaska,22,20-22
Arizona,22,20-22
Arkansas,28,27-30
California,23,23-26
Colorado,22,20-22
Connecticut,27,27-30
Delaware,24,23-26
District of Columbia,20,20-22
Florida,24,23-26
Georgia,30,27-30
Hawaii,23,23-26
Idaho,28,27-30
Illinois,23,23-26
Indiana,24,23-26
Iowa,27,27-30
Kansas,29,27-30
Kentucky,28,27-30
Louisiana,28,27-30
Maine,28,27-30
Maryland,24,23-26
Massachusetts,26,23-26
Michigan,20,20-22
Minnesota,21,20-22
Mississippi,34,31+
Missouri,25,23-26
Montana,24,23-26
Nebraska,21,20-22
Nevada,24,23-26
New Hampshire,24,23-26
New Jersey,25,23-26
New Mexico,26,23-26
New York,26,23-26
North Carolina,27,27-30
North Dakota,23,23-26
Ohio,24,23-26
Oklahoma,27,27-30
Oregon,23,23-26
Pennsylvania,23,23-26
Rhode Island,23,23-26
South Carolina,26,23-26
South Dakota,24,23-26
Tennessee,28,27-30
Texas,23,23-26
Utah,28,27-30
Vermont,25,23-26
Virginia,23,23-26
Washington,22,20-22
West Virginia,26,23-26
Wisconsin,23,23-26
Wyoming,23,23-26
