state,aecf_kinship_pct_children_2023_2025
Alabama,4
Alaska,3
Arizona,4
Arkansas,6
California,4
Colorado,3
Connecticut,2
Delaware,3
District of Columbia,4
Florida,4
Georgia,4
Hawaii,5
Idaho,2
Illinois,3
Indiana,4
Iowa,1
Kansas,3
Kentucky,6
Louisiana,4
Maine,4
Maryland,4
Massachusetts,3
Michigan,3
Minnesota,2
Mississippi,9
Missouri,2
Montana,3
Nebraska,1
Nevada,4
New Hampshire,4
New Jersey,2
New Mexico,8
New York,3
North Carolina,4
North Dakota,3
Ohio,4
Oklahoma,5
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,6
South Dakota,4
Tennessee,4
Texas,4
Utah,2
Vermont,3
Virginia,4
Washington,3
West Virginia,6
Wisconsin,2
Wyoming,3
